((N-acetyl-D-glucosaminyl)2-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	C50H83N4O35X
((N-acetyl-D-glucosaminyl)3-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	C58H96N5O40X
((N-acetyl-D-glucosaminyl)4-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	C66H109N6O45X
((N-acetyl-D-glucosaminyl)5-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	C74H122N7O50X
(+)-alpha-pinene	C10H16
(+)-alpha-tocopherol	C29H50O2
(+)-gama-tocopherol	C28H48O2
(-)-Salsoline	C11H16NO2
(-)-Salsolinol	C10H14NO2
(-)-trans-carveol	C10H16O
(1R,2R,3R,4R,5R,6S)-2,3,5,6-tetrahydroxy-4-(phosphonatooxy)cyclohexyl phosphate	C6H10O12P2
(2)[glucose-1,3]-mannose oligosaccharide	C18H32O16
(2-Aminoethyl)phosphonate	C2H7NO3P
(20S)-20-hydroxypregn-4-en-3-one	C21H32O2
(24R)-24,25-dihydroxycalciol	C27H44O3
(24S)-24-hydroxycholesterol	C27H46O2
(24S)-7alpha,24-dihydroxycholesterol	C27H46O3
(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA(4-)	C48H76N7O20P3S
(2E)-Decenoyl-ACP	
(2E)-Dodecenoyl-ACP	
(2E)-Hexadecenoyl-ACP	
(2E)-Hexenoyl-ACP	
(2E)-Hexenoyl-CoA	C27H40N7O17P3S
(2E)-Octadecenoyl-ACP	
(2E)-Octenoyl-ACP	
(2E)-Octenoyl-CoA	C29H44N7O17P3S
(2E)-Tetradecenoyl-ACP	
(2R)-pristanoyl-CoA	C40H68N7O17P3S
(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl phosphate	C6H11O9P
(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate	C10H11N5O13P2S
(2R,4S,5R,6R)-2-[({[(2R,3S,4R,5R)-5-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}phosphinato)oxy]-4-hydroxy-5-(2-hydroxyacetamido)-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylate	C20H29N4O17P
(2R,6R,10R)-trimethyl-hendecanoyl-CoA	C35H58N7O17P3S
(2R,6S,10S)-pristanate	C19H37O2
(2S)-1-hydroxy-3-oxooctadecan-2-aminium	C18H38NO2
(2S)-4-carbamoyl-2-(2-phenylacetamido)butanoate	C13H16N2O4
(2S)-pristanoyl-CoA	C40H68N7O17P3S
(2S,3R)-2-azaniumyl-3-hydroxyoctadecyl phosphate	C18H39NO5P
(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate	C7H7O7
(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA(4-)	C26H40N7O18P3S
(2S,6R,10R)-trimethyl-2E-hendecenoyl-CoA	C35H56N7O17P3S
(2S,6R,10R)-trimethyl-hendecanoyl-CoA	C35H58N7O17P3S
(3,4-dihydroxyphenyl)acetate	C8H7O4
(3E,5Z,8Z)-tetradecatrienoyl-CoA	C35H52N7O17P3S
(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA	C37H58N7O18P3S
(3S)-3-hydroxy-cis-8-tetradecenoyl-CoA	C35H56N7O18P3S
(3S)-3-hydroxydodec-cis-6-enoyl-CoA	C33H52N7O18P3S
(3S)-3-hydroxylinoleoyl-CoA	C39H62N7O18P3S
(3S)-citramalyl-CoA(5-)	C26H37N7O20P3S
(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA	C41H66N7O18P3S
(3S)-hydroxy-tetracosa-6,9,12,15,18,21-all-cis-hexaenoyl-CoA	C45H66N7O18P3S
(3S,7R,11R)-phytanate	C20H39O2
(4-hydroxy-3-methoxyphenyl)acetaldehyde	C9H10O3
(4-hydroxyphenyl)acetaldehyde	C8H8O2
(4R,5S)-4,5,6-trihydroxy-2,3-dioxohexanoate	C6H7O7
(4R,8R,12R)-trimethyl-2E-tridecenoyl-CoA	C37H60N7O17P3S
(5-hydroxyindol-3-yl)acetaldehyde	C10H9NO2
(5Z,9E,12S,14Z)-8,11,12-trihydroxyicosa-5,9,14-trienoate	C20H33O5
(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoate	C20H31O4
(8Z,11Z,14Z)-eicosatrienoic acid	C20H33O2
(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA	C41H62N7O17P3S
(Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1	C58H102N3O31FULLRCO
(Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1	C64H112N3O35FULLRCO
(Gal)2-Xyl-L-Ser (protein)	C17H29O14X
(Gal)3 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1	C64H112N3O36FULLRCO
(Gal)3 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1	C72H125N4O41FULLRCO
(Gal)3 (Glc)1 (GlcNAc)1 (Cer)1	C55H95N3O30FULLRCO
(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1	C56H99N2O31FULLRCO
(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1	C62H109N2O35FULLRCO
(Gal)3 (Glc)1 (GlcNAc)2 (LFuc)2 (Cer)1	C70H122N3O40FULLRCO
(Gal)3 (Glc)1 (GlcNAc)2 (LFuc)3 (Cer)1	C76H132N3O44FULLRCO
(Gal)3 (Glc)1 (GlcNAc)3 (Cer)1	C66H115N4O37FULLRCO
(Gal)4 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1	C78H135N4O46FULLRCO
(Gal)4 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)2 (Cer)1	C84H145N4O50FULLRCO
(Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1	C70H122N3O41FULLRCO
(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)1 (Cer)1	C78H135N4O46FULLRCO
(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1	C84H145N4O50FULLRCO
(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)3 (Cer)1	C90H155N4O54FULLRCO
(Gal)6 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1	C96H165N4O60FULLRCO
(GlcN2S-GlcA)4-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein)	C79H121N5O77S4X
(GlcN2S-IdoA-GlcN2S-GlcA)2-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein)	C79H121N5O77S4X
(GlcNAc-GlcA)2-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein)	C59H89N3O47X
(GlcNAc-GlcA)3-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein)	C73H109N4O58X
(GlcNAc-GlcA)4-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein)	C87H129N5O69X
(N-acetyl-D-glucosaminyl-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	C42H70N3O30X
(N-acetyl-D-glucosaminyl-(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	C54H90N3O40X
(R)-1,2-dimethyl-5,6-dihydroxy-tetrahydroisoquinoline	C11H16NO2
(R)-2-hydroxy-4-methylpentanoate	C6H11O3
(R)-3-Hydroxybutanoyl-ACP	
(R)-3-Hydroxydecanoyl-ACP	
(R)-3-Hydroxyoctanoyl-ACP	
(R)-3-Hydroxypalmitoyl-ACP	
(R)-3-hydroxybutanoyl-CoA(4-)	C25H38N7O18P3S
(R)-3-hydroxybutyrate	C4H7O3
(R)-5-Diphosphomevalonate	C6H10O10P2
(R)-5-phosphonatomevalonate(3-)	C6H10O7P
(R)-Pantothenate	C9H16NO5
(R)-S-lactoylglutathionate(1-)	C13H20N3O8S
(R)-lactaldehyde	C3H6O2
(R)-lactate	C3H5O3
(R)-methylmalonyl-CoA(5-)	C25H35N7O19P3S
(R)-mevalonate	C6H11O4
(R)-propane-1,2-diol	C3H8O2
(R,S)-Norlaudanosoline	C16H18NO4
(S)-2,3-epoxysqualene	C30H50O
(S)-2-Aminobutanoate	C4H9NO2
(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	C13H15N4O12P
(S)-3-Hydroxydecanoyl-CoA	C31H50N7O18P3S
(S)-3-Hydroxydodecanoyl-CoA	C33H54N7O18P3S
(S)-3-Hydroxyhexadecanoyl-CoA	C37H62N7O18P3S
(S)-3-Hydroxyisobutyryl-CoA	C25H38N7O18P3S
(S)-3-Hydroxyoctadecanoyl-CoA	C39H66N7O18P3S
(S)-3-Hydroxytetradecanoyl-CoA	C35H58N7O18P3S
(S)-3-aminoisobutyric acid	C4H9NO2
(S)-3-hydroxybutanoyl-CoA(4-)	C25H38N7O18P3S
(S)-3-hydroxyoleyleoyl-CoA	
(S)-3-hydroxypalmitoleoyl-CoA	C37H60N7O18P3S
(S)-3-sulfonatolactate(2-)	C3H4O6S
(S)-Glycerate	C3H5O4
(S)-Hydroxydecanoyl-CoA	C31H50N7O18P3S
(S)-Hydroxyhexanoyl-CoA	C27H42N7O18P3S
(S)-Hydroxyoctanoyl-CoA	C29H46N7O18P3S
(S)-dihydroorotate	C5H5N2O4
(S)-lactaldehyde	C3H6O2
(S)-lactate	C3H5O3
(S)-malate(2-)	C4H4O5
(S)-methylmalonyl-CoA(5-)	C25H35N7O19P3S
(S)-propane-1,2-diol	C3H8O2
(Z)-but-2-ene-1,2,3-tricarboxylate	C7H5O6
(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C76H127N2O60X
(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C82H137N2O65X
(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	C1900H3128N20O720P20
(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1845H3040N20O720P20
(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C88H147N2O70X
(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	C1960H3228N20O770P20
(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1905H3140N20O770P20
(alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	C1540H2528N20O420P20
(alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1485H2440N20O420P20
(alpha-D-Mannosyl)5-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	C1600H2628N20O470P20
(alpha-D-Mannosyl)5-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1545H2540N20O470P20
(alpha-D-Mannosyl)6-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	C1660H2728N20O520P20
(alpha-D-Mannosyl)6-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1605H2640N20O520P20
(alpha-D-Mannosyl)7-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	C1720H2828N20O570P20
(alpha-D-Mannosyl)7-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1665H2740N20O570P20
(alpha-D-Mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	C1780H2928N20O620P20
(alpha-D-Mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1725H2840N20O620P20
(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine	C26H45NO21
(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	C1420H2328N20O320P20
(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	C1365H2240N20O320P20
(alpha-D-mannosyl)3-beta-D-mannosyl-diacetylchitodiphosphodolichol, human liver homolog	C1480H2428N20O370P20
(alpha-D-mannosyl)3-beta-D-mannosyl-diacetylchitodiphosphodolichol, human uterine homolog	C1425H2340N20O370P20
(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C46H77N2O35X
(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C52H87N2O40X
(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C58H97N2O45X
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)	C64H107N2O50X
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)	C64H107N2O50X
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein)	C64H107N2O50X
(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C70H117N2O55X
(dimannosyl),(phosphoethanolaminyl)-mannosyl-glucosylaminyl-acylphosphatidylinositol (H6)	C51H94N2O32P2FULLRCO2FULLR2CO2
(mannosyl),(phosphoethanolaminyl)-mannosyl-glucosylaminyl-acylphosphatidylinositol (B)	C45H84N2O27P2FULLRCO2FULLR2CO2
(phosphoethanolaminyl-dimannosyl),(phosphoethanolaminyl)-mannosyl-glucosaminyl-acylphosphatidylinositol	C53H100N3O35P3FULLRCO2FULLR2CO2X
